115n -- Employed labour force by area, commuting, level of education, age and year, 1987-2017

Area;Commuting;Level of education;Total 2017 Employed;- 17 2017 Employed;18 - 24 2017 Employed;25 - 34 2017 Employed;35 - 44 2017 Employed;45 - 54 2017 Employed;55 - 64 2017 Employed;65 - 74 2017 Employed;75 - 2017 Employed
Korsholm;Persons working outside their municipality of residence;Total;6060;0;312;1284;1826;1538;1049;51;0
Muurame;Persons working outside their municipality of residence;Total;3098;0;151;576;989;878;489;15;0
Mynämäki;Persons working outside their municipality of residence;Total;2031;0;149;404;459;573;433;13;0
Myrskylä;Persons working outside their municipality of residence;Total;464;0;48;99;107;113;91;6;0
Mäntsälä;Persons working outside their municipality of residence;Total;5874;0;350;1083;1675;1681;1041;44;0
Mänttä-Vilppula;Persons working outside their municipality of residence;Total;857;0;66;129;200;254;199;9;0
Mäntyharju;Persons working outside their municipality of residence;Total;627;0;41;101;136;182;158;9;0
Naantali;Persons working outside their municipality of residence;Total;5318;0;355;766;1371;1636;1126;64;0
Nakkila;Persons working outside their municipality of residence;Total;1346;0;89;250;368;361;263;15;0
Nivala;Persons working outside their municipality of residence;Total;1351;0;187;337;340;271;205;11;0
Nokia;Persons working outside their municipality of residence;Total;8052;0;449;1620;2666;2061;1206;50;0
Nousiainen;Persons working outside their municipality of residence;Total;1676;0;99;331;538;403;292;13;0
Nurmes;Persons working outside their municipality of residence;Total;430;0;23;100;86;107;107;7;0
Nurmijärvi;Persons working outside their municipality of residence;Total;12898;0;802;2023;3802;4001;2174;96;0
Närpes;Persons working outside their municipality of residence;Total;632;0;59;146;140;156;117;14;0
Orimattila;Persons working outside their municipality of residence;Total;3421;0;234;626;951;956;631;23;0
Oripää;Persons working outside their municipality of residence;Total;291;0;30;53;63;77;63;5;0
Orivesi;Persons working outside their municipality of residence;Total;1683;0;101;294;443;469;357;19;0
Oulainen;Persons working outside their municipality of residence;Total;781;0;80;166;186;194;150;5;0
Oulu;Persons working outside their municipality of residence;Total;11208;0;1691;3211;2735;2146;1350;75;0
Outokumpu;Persons working outside their municipality of residence;Total;612;0;38;141;150;144;134;5;0
Padasjoki;Persons working outside their municipality of residence;Total;433;0;31;64;85;105;137;11;0
Paimio;Persons working outside their municipality of residence;Total;3080;0;158;629;952;754;559;28;0
Paltamo;Persons working outside their municipality of residence;Total;483;0;33;85;116;135;111;3;0
Pargas;Persons working outside their municipality of residence;Total;2671;0;150;384;726;794;579;38;0
Parikkala;Persons working outside their municipality of residence;Total;578;0;28;104;106;179;151;10;0
Parkano;Persons working outside their municipality of residence;Total;602;0;68;121;108;153;143;9;0
Pedersöre;Persons working outside their municipality of residence;Total;2436;0;331;560;597;525;401;22;0
Pelkosenniemi;Persons working outside their municipality of residence;Total;119;0;6;21;26;22;37;7;0
Pello;Persons working outside their municipality of residence;Total;236;0;11;50;30;57;85;3;0
Perho;Persons working outside their municipality of residence;Total;222;0;43;58;41;41;37;2;0
Pertunmaa;Persons working outside their municipality of residence;Total;193;0;6;26;41;64;54;2;0
Petäjävesi;Persons working outside their municipality of residence;Total;928;0;53;177;273;251;164;10;0
Pieksämäki;Persons working outside their municipality of residence;Total;1099;0;59;232;216;278;291;23;0
Pielavesi;Persons working outside their municipality of residence;Total;478;0;46;95;95;120;110;12;0
Jakobstad;Persons working outside their municipality of residence;Total;2117;0;268;546;488;495;303;17;0
Pihtipudas;Persons working outside their municipality of residence;Total;337;0;33;64;77;77;83;3;0
Pirkkala;Persons working outside their municipality of residence;Total;6438;0;353;1315;1967;1703;1058;42;0
Polvijärvi;Persons working outside their municipality of residence;Total;652;0;37;142;157;160;149;7;0
Pomarkku;Persons working outside their municipality of residence;Total;442;0;25;79;104;123;102;9;0
Pori;Persons working outside their municipality of residence;Total;6548;0;747;1687;1533;1524;1005;52;0
Pornainen;Persons working outside their municipality of residence;Total;1791;0;131;264;509;530;346;11;0
Porvoo;Persons working outside their municipality of residence;Total;8043;0;533;1420;2319;2380;1323;68;0
Posio;Persons working outside their municipality of residence;Total;212;0;14;34;31;72;56;5;0
Pudasjärvi;Persons working outside their municipality of residence;Total;514;0;61;106;98;122;118;9;0
Pukkila;Persons working outside their municipality of residence;Total;525;0;47;79;133;160;102;4;0
Punkalaidun;Persons working outside their municipality of residence;Total;437;0;24;95;97;113;99;9;0
Puolanka;Persons working outside their municipality of residence;Total;173;0;13;23;39;39;55;4;0
Puumala;Persons working outside their municipality of residence;Total;224;0;19;29;37;59;75;5;0
Pyhtää;Persons working outside their municipality of residence;Total;1539;0;75;247;434;454;319;10;0
Pyhäjoki;Persons working outside their municipality of residence;Total;601;0;34;112;170;166;114;5;0
Pyhäjärvi;Persons working outside their municipality of residence;Total;370;0;35;67;88;77;96;7;0
