origin,destination,flow
Jakobstad,Kalajoki,6
Siikajoki,Muhos,6
Nivala,Siikalatva,6
Rovaniemi,Ii,6
Kustavi,Vehmaa,6
Virrat,Ikaalinen,6
Kurikka,Parkano,6
Siilinjärvi,Kaavi,6
Jakobstad,Evijärvi,6
Oripää,Salo,6
Kuortane,Soini,6
Haapavesi,Liminka,6
Vimpeli,Kyyjärvi,6
Sipoo,Loviisa,6
Loppi,Salo,6
Forssa,Janakkala,6
Forssa,Aura,6
Jakobstad,Korsholm,6
Ylivieska,Reisjärvi,6
Nokia,Pälkäne,6
Eura,Lieto,6
Ruovesi,Hämeenkyrö,6
Savitaipale,Imatra,6
Savonlinna,Kontiolahti,6
Ruokolahti,Sulkava,6
Eurajoki,Mynämäki,6
Kökar,Turku,6
Pornainen,Orimattila,6
Nokia,Kankaanpää,6
Evijärvi,Alajärvi,6
Evijärvi,Lapua,6
Pihtipudas,Kivijärvi,6
Oulainen,Siikalatva,6
Sievi,Haapavesi,6
Rautalampi,Siilinjärvi,6
Tervola,Ylitornio,6
Taivassalo,Rusko,6
Tammela,Pirkkala,6
Ilomantsi,Liperi,6
Muurame,Uurainen,6
Humppila,Sastamala,6
Valtimo,Juuka,6
Isojoki,Merikarvia,6
Pälkäne,Lahti,6
Karkkila,Mäntsälä,6
Sastamala,Turku,6
Sastamala,Pöytyä,6
Varkaus,Joensuu,6
Isojoki,Siikainen,6
Rauma,Kaarina,6
Ilmajoki,Malax,6
Karstula,Vimpeli,6
Imatra,Lemi,6
Imatra,Mikkeli,6
Karvia,Ikaalinen,6
Imatra,Parikkala,6
Huittinen,Humppila,6
Karvia,Tampere,6
Varkaus,Outokumpu,6
Mikkeli,Muurame,6
Raahe,Nivala,6
Mariehamn,Geta,6
Jämsä,Padasjoki,6
Taipalsaari,Puumala,6
Juupajoki,Valkeakoski,6
Kankaanpää,Kauhajoki,6
Uurainen,Multia,6
Merijärvi,Sievi,6
Tammela,Kirkkonummi,6
Polvijärvi,Lieksa,6
Merikarvia,Kauhajoki,6
Merijärvi,Nivala,6
Hämeenlinna,Kirkkonummi,6
Kangasniemi,Varkaus,6
Masku,Vehmaa,6
Masku,Taivassalo,6
Pöytyä,Kokemäki,6
Kankaanpää,Nakkila,6
Jämsä,Äänekoski,6
Kaavi,Leppävirta,6
Pöytyä,Somero,6
Hämeenlinna,Humppila,6
Hämeenkyrö,Valkeakoski,6
Punkalaidun,Humppila,6
Kannonkoski,Kivijärvi,6
Kaarina,Koski_Tl,6
Tampere,Parkano,6
Järvenpää,Pukkila,6
Uusikaupunki,Rusko,6
Kannus,Raahe,6
Mariehamn,Föglö,6
Rantasalmi,Enonkoski,6
Paltamo,Sotkamo,6
Paimio,Somero,6
Orimattila,Kotka,6
Janakkala,Lohja,6
Mäntyharju,Hartola,6
Joutsa,Luhanka,6
Tornio,Ii,6
Tornio,Oulu,6
Kauniainen,Riihimäki,6
Kaustinen,Kalajoki,6
Multia,Ähtäri,6
Porvoo,Loppi,6
Jokioinen,Punkalaidun,6
Kauhava,Veteli,6
Vantaa,Loppi,6
Jokioinen,Pirkkala,6
Keitele,Vesanto,6
Pori,Kristinestad,6
Säkylä,Aura,6
Kerava,Hausjärvi,6
Sysmä,Muurame,6
Kerava,Janakkala,6
Sysmä,Luhanka,6
Kerava,Karkkila,6
Janakkala,Kirkkonummi,6
Vehmaa,Pyhäranta,6
Mikkeli,Sysmä,6
Toivakka,Joutsa,6
Joutsa,Toivakka,6
Toholampi,Veteli,6
Tuusniemi,Kontiolahti,6
Juupajoki,Nokia,6
Raasepori,Lieto,5
Kajaani,Muhos,5
Tampere,Humppila,5
Aura,Koski_Tl,5
Iisalmi,Viitasaari,5
Laihia,Korsnäs,5
Lieto,Kimitoön,5
Juupajoki,Lempäälä,5
Laukaa,Kangasniemi,5
Asikkala,Mäntsälä,5
Juuka,Valtimo,5
Kaarina,Raasepori,5
Laihia,Nykarleby,5
Jokioinen,Riihimäki,5
Tampere,Kankaanpää,5
Parkano,Kangasala,5
Laitila,Harjavalta,5
Raasepori,Naantali,5
Kajaani,Oulu,5
Jyväskylä,Ähtäri,5
Alajärvi,Saarijärvi,5
Asikkala,Hyvinkää,5
Tuusniemi,Polvijärvi,5
Seinäjoki,Vimpeli,5
Tammela,Siuntio,5
Seinäjoki,Pedersöre,5
Ypäjä,Tampere,5
Alajärvi,Kurikka,5
Jokioinen,Nokia,5
Seinäjoki,Parkano,5
Lahti,Hamina,5
Vöyri,Evijärvi,5
Ypäjä,Tammela,5
Imatra,Savitaipale,5
Äänekoski,Suonenjoki,5
Raasepori,Karkkila,5
Vöyri,Kokkola,5
Seinäjoki,Evijärvi,5
Saarijärvi,Soini,5
Utajärvi,Kajaani,5
Lahti,Pertunmaa,5
Iitti,Helsinki,5
Sauvo,Rusko,5
Salla,Kuusamo,5
Jämijärvi,Ulvila,5
Salo,Nousiainen,5
Alavus,Kauhajoki,5
Jämsä,Asikkala,5
Enonkoski,Rantasalmi,5
Toivakka,Äänekoski,5
Brändö,Mariehamn,5
Brändö,Pargas,5
Jyväskylä,Hartola,5
Aura,Ypäjä,5
Turku,Oripää,5
Pihtipudas,Iisalmi,5
Lempäälä,Punkalaidun,5
Akaa,Riihimäki,5
Lieto,Uusikaupunki,5
Tuusula,Siuntio,5
Ypäjä,Hämeenlinna,5
Jyväskylä,Sysmä,5
Teuva,Kaskinen,5
Jämsä,Hämeenlinna,5
Tervo,Viitasaari,5
Tornio,Rovaniemi,5
Alavus,Jyväskylä,5
Lapinjärvi,Pyhtää,5
Ylivieska,Siikajoki,5
Pertunmaa,Jyväskylä,5
Oulainen,Kärsämäki,5
Iitti,Mäntyharju,5
Laitila,Sastamala,5
Juuka,Rautavaara,5
Ulvila,Uusikaupunki,5
Espoo,Lahti,5
Turku,Somero,5
Lestijärvi,Haapajärvi,5
Oulainen,Kannus,5
Juupajoki,Virrat,5
Ilmajoki,Vöyri,5
Jämsä,Luhanka,5
Lappajärvi,Kronoby,5
Toholampi,Haapavesi,5
Tuusula,Pukkila,5
Kerava,Lohja,5
Kangasala,Hämeenkyrö,5
Viitasaari,Iisalmi,5
Pieksämäki,Äänekoski,5
Hattula,Järvenpää,5
Sottunga,Mariehamn,5
Varkaus,Liperi,5
Vihti,Pornainen,5
Hartola,Luhanka,5
Hartola,Kangasniemi,5
Honkajoki,Kurikka,5
Harjavalta,Tampere,5
Kokemäki,Mynämäki,5
Huittinen,Aura,5
Kokemäki,Pöytyä,5
Padasjoki,Riihimäki,5
Kokemäki,Uusikaupunki,5
Kangasala,Juupajoki,5
Kauhajoki,Parkano,5
Kauhajoki,Kihniö,5
Sonkajärvi,Kuopio,5
Kolari,Rovaniemi,5
Huittinen,Jokioinen,5
Konnevesi,Uurainen,5
Kontiolahti,Ilomantsi,5
Karvia,Hämeenkyrö,5
Huittinen,Kaarina,5
Korsnäs,Kurikka,5
Hanko,Sauvo,5
Karstula,Uurainen,5
Hanko,Paimio,5
Honkajoki,Jämijärvi,5
Varkaus,Siilinjärvi,5
Sulkava,Varkaus,5
Hattula,Vihti,5
Vesilahti,Hattula,5
Vesilahti,Huittinen,5
Keuruu,Juupajoki,5
Pieksämäki,Siilinjärvi,5
Keuruu,Karstula,5
Vesanto,Saarijärvi,5
Paimio,Raasepori,5
Heinävesi,Rantasalmi,5
Vantaa,Orimattila,5
Vantaa,Pukkila,5
Pieksämäki,Konnevesi,5
Kihniö,Ylöjärvi,5
Hollola,Hattula,5
Kinnula,Halsua,5
Kaustinen,Nivala,5
Säkylä,Nousiainen,5
Vieremä,Pielavesi,5
Vehmaa,Pargas,5
Kinnula,Toholampi,5
Kinnula,Viitasaari,5
Säkylä,Punkalaidun,5
Paimio,Kimitoön,5
Suomussalmi,Sotkamo,5
Suomussalmi,Paltamo,5
Hausjärvi,Askola,5
Varkaus,Tuusniemi,5
Kirkkonummi,Mäntsälä,5
Hanko,Ingå,5
Somero,Janakkala,5
Huittinen,Mynämäki,5
Kannus,Haapajärvi,5
Haapajärvi,Viitasaari,5
Kannonkoski,Pihtipudas,5
Virolahti,Lemi,5
Haapajärvi,Lestijärvi,5
Oulu,Oulainen,5
Kannonkoski,Kyyjärvi,5
Siilinjärvi,Pielavesi,5
Hämeenkyrö,Ruovesi,5
Forssa,Vihti,5
Kankaanpää,Pirkkala,5
Kurikka,Vöyri,5
Hämeenlinna,Heinola,5
Forssa,Tuusula,5
Vantaa,Hämeenlinna,5
Kuusamo,Pudasjärvi,5
Kankaanpää,Eura,5
Kangasniemi,Äänekoski,5
Kyyjärvi,Saarijärvi,5
Kyyjärvi,Soini,5
Kärkölä,Espoo,5
Forssa,Lieto,5
Kärkölä,Kouvola,5
Nykarleby,Kaustinen,5
Tammela,Kangasala,5
Kangasala,Sastamala,5
Kangasala,Ruovesi,5
Kärsämäki,Vieremä,5
Haapavesi,Kempele,5
Kuhmoinen,Valkeakoski,5
Kotka,Askola,5
Hämeenkyrö,Parkano,5
Huittinen,Paimio,5
Kotka,Järvenpää,5
Viitasaari,Pyhäjärvi,5
Hankasalmi,Muurame,5
Varkaus,Hankasalmi,5
Karkkila,Siuntio,5
Karkkila,Sipoo,5
Vimpeli,Kaustinen,5
Huittinen,Vesilahti,5
Karkkila,Jokioinen,5
Humppila,Pirkkala,5
Halsua,Lestijärvi,5
Halsua,Lappajärvi,5
Halsua,Evijärvi,5
Karkkila,Akaa,5
Kristinestad,Vaasa,5
Kronoby,Kalajoki,5
Hailuoto,Siikajoki,5
Taipalsaari,Kouvola,5
Karijoki,Isojoki,5
Kronoby,Lappajärvi,5
Hämeenkyrö,Akaa,5
Haapavesi,Tyrnävä,5
Taipalsaari,Ruokolahti,5
Kuhmoinen,Hämeenlinna,5
Uusikaupunki,Ulvila,5
Uusikaupunki,Säkylä,5
Jokioinen,Hyvinkää,5
Nurmijärvi,Raasepori,5
Multia,Laukaa,5
Pyhtää,Helsinki,5
Lumparland,Finström,5
Mänttä-Vilppula,Ähtäri,5
Raisio,Loimaa,5
Pyhtää,Virolahti,5
Pukkila,Kärkölä,5
Luhanka,Hartola,5
Rauma,Vehmaa,5
Nivala,Pihtipudas,5
Lohja,Janakkala,5
Myrskylä,Pornainen,5
Liminka,Siikalatva,5
Pudasjärvi,Posio,5
Pargas,Mynämäki,5
Rantasalmi,Pieksämäki,5
Myrskylä,Kotka,5
Orimattila,Tampere,5
Mäntsälä,Heinola,5
Nokia,Orivesi,5
Loppi,Valkeakoski,5
Riihimäki,Kauniainen,5
Loimaa,Laitila,5
Pargas,Aura,5
Rovaniemi,Oulu,5
Nurmijärvi,Kärkölä,5
Malax,Ilmajoki,5
Multia,Muurame,5
Korsholm,Jakobstad,5
Rautalampi,Leppävirta,5
Loimaa,Masku,5
Pyhäjoki,Liminka,5
Orivesi,Kuhmoinen,5
Pöytyä,Sauvo,5
Loppi,Hattula,5
Raahe,Siikalatva,5
Muhos,Vaala,5
Mäntsälä,Iitti,5
Malax,Teuva,5
Pyhäranta,Pori,5
Ruovesi,Parkano,5
Raahe,Tyrnävä,5
Multia,Mänttä-Vilppula,5
Mänttä-Vilppula,Laukaa,5
Geta,Hammarland,4
Kokemäki,Akaa,4
Uusikaupunki,Harjavalta,4
Kokemäki,Hämeenkyrö,4
Sastamala,Mynämäki,4
Askola,Lapinjärvi,4
Laitila,Nakkila,4
Hämeenkyrö,Huittinen,4
Sauvo,Nousiainen,4
Loimaa,Uusikaupunki,4
Kangasala,Lahti,4
Askola,Kärkölä,4
Huittinen,Lieto,4
Laihia,Teuva,4
Iisalmi,Sotkamo,4
Soini,Perho,4
Loimaa,Vesilahti,4
Rauma,Kankaanpää,4
Sotkamo,Vieremä,4
Pori,Parkano,4
Tuusula,Loviisa,4
Mäntsälä,Kauniainen,4
Askola,Myrskylä,4
Padasjoki,Hyvinkää,4
Iisalmi,Pyhäjärvi,4
Joutsa,Mäntyharju,4
Tampere,Pori,4
Ypäjä,Urjala,4
Sotkamo,Suomussalmi,4
Sulkava,Ruokolahti,4
Toivakka,Jämsä,4
Sottunga,Finström,4
Sauvo,Masku,4
Lappajärvi,Kuortane,4
Pyhäntä,Pyhäjärvi,4
Kiuruvesi,Kuopio,4
Ähtäri,Lapua,4
Sulkava,Imatra,4
Ikaalinen,Ruovesi,4
Perho,Kivijärvi,4
Hirvensalmi,Jyväskylä,4
Ristijärvi,Puolanka,4
Espoo,Loppi,4
Salo,Tuusula,4
Hattula,Urjala,4
Salo,Tampere,4
Kustavi,Lieto,4
Kristinestad,Ilmajoki,4
Heinävesi,Pieksämäki,4
Sodankylä,Kemijärvi,4
Salo,Siuntio,4
Tammela,Kerava,4
Hyvinkää,Valkeakoski,4
Salo,Riihimäki,4
Tervo,Konnevesi,4
Oripää,Ypäjä,4
Tervo,Jyväskylä,4
Pirkkala,Hattula,4
Mäntyharju,Kotka,4
Ruovesi,Jyväskylä,4
Karvia,Närpes,4
Harjavalta,Uusikaupunki,4
Sottunga,Föglö,4
Kouvola,Kärkölä,4
Valkeakoski,Hämeenkyrö,4
Soini,Lappajärvi,4
Kokemäki,Oripää,4
Ähtäri,Karstula,4
Kaskinen,Karijoki,4
Outokumpu,Leppävirta,4
Vårdö,Lumparland,4
Imatra,Luumäki,4
Ingå,Kerava,4
Nurmes,Sonkajärvi,4
Karvia,Virrat,4
Siikajoki,Pyhäjoki,4
Ylöjärvi,Juupajoki,4
Tervo,Iisalmi,4
Pukkila,Hausjärvi,4
Soini,Saarijärvi,4
Pyhäranta,Vehmaa,4
Multia,Alavus,4
Akaa,Nurmijärvi,4
Vesilahti,Loimaa,4
Finström,Vårdö,4
Pöytyä,Sastamala,4
Forssa,Punkalaidun,4
Ypäjä,Karkkila,4
Akaa,Lahti,4
Kontiolahti,Juuka,4
Karstula,Alavus,4
Kärkölä,Heinola,4
Reisjärvi,Perho,4
Somero,Huittinen,4
Konnevesi,Siilinjärvi,4
Helsinki,Raasepori,4
Virrat,Kangasala,4
Raisio,Sauvo,4
Hartola,Padasjoki,4
Seinäjoki,Nykarleby,4
Nousiainen,Taivassalo,4
Isokyrö,Kauhajoki,4
Vihti,Hausjärvi,4
Ikaalinen,Karvia,4
Kalajoki,Oulu,4
Kaavi,Kontiolahti,4
Puumala,Savitaipale,4
Kajaani,Valtimo,4
Kärsämäki,Iisalmi,4
Helsinki,Kärkölä,4
Nousiainen,Loimaa,4
Turku,Huittinen,4
Nokia,Hattula,4
Kärsämäki,Sievi,4
Virrat,Orivesi,4
Merikarvia,Närpes,4
Koski_Tl,Hämeenlinna,4
Helsinki,Loppi,4
Tammela,Raasepori,4
Joroinen,Savonlinna,4
Valkeakoski,Riihimäki,4
Koski_Tl,Aura,4
Ranua,Tervola,4
Pihtipudas,Kannonkoski,4
Pöytyä,Humppila,4
Ingå,Somero,4
Tammela,Pöytyä,4
Kotka,Espoo,4
Kärkölä,Hattula,4
Mäntyharju,Sysmä,4
Petäjävesi,Ähtäri,4
Ypäjä,Punkalaidun,4
Lahti,Mäntyharju,4
Kaarina,Marttila,4
Riihimäki,Forssa,4
Kouvola,Hausjärvi,4
Nurmes,Kaavi,4
Pyhäranta,Eura,4
Ruokolahti,Lemi,4
Nurmes,Kontiolahti,4
Lahti,Pyhtää,4
Aura,Pargas,4
Pomarkku,Harjavalta,4
Merikarvia,Honkajoki,4
Juupajoki,Pirkkala,4
Oulu,Keminmaa,4
Porvoo,Pyhtää,4
Aura,Laitila,4
Joutsa,Laukaa,4
Savonlinna,Kuopio,4
Kyyjärvi,Kannonkoski,4
Laihia,Kauhava,4
Karijoki,Karvia,4
Huittinen,Salo,4
Föglö,Kökar,4
Forssa,Sastamala,4
Nousiainen,Huittinen,4
Karijoki,Seinäjoki,4
Eckerö,Sund,4
Ruokolahti,Juva,4
Kotka,Mäntsälä,4
Karijoki,Pori,4
Somero,Tuusula,4
Kaarina,Uusikaupunki,4
Hattula,Mäntsälä,4
Hattula,Nokia,4
Kokkola,Vaasa,4
Kyyjärvi,Viitasaari,4
Kotka,Sipoo,4
Seinäjoki,Karvia,4
Mäntsälä,Karkkila,4
Humppila,Valkeakoski,4
Aura,Sauvo,4
Jokioinen,Paimio,4
Kokkola,Nivala,4
Larsmo,Vaasa,4
Hartola,Kouvola,4
Aura,Rauma,4
Valkeakoski,Loimaa,4
Joroinen,Suonenjoki,4
Pieksämäki,Heinävesi,4
Kuhmoinen,Hartola,4
Rautalampi,Tervo,4
Huittinen,Ypäjä,4
Taivassalo,Pargas,4
Juupajoki,Jyväskylä,4
Pedersöre,Korsholm,4
Hollola,Padasjoki,4
Äänekoski,Keuruu,4
Kerava,Loviisa,4
Kuopio,Konnevesi,4
Kankaanpää,Huittinen,4
Leppävirta,Jyväskylä,4
Kaustinen,Vimpeli,4
Kuopio,Jyväskylä,4
Kuopio,Juuka,4
Veteli,Ylivieska,4
Sysmä,Mikkeli,4
Kaustinen,Alajärvi,4
Hämeenlinna,Padasjoki,4
Kuhmoinen,Hollola,4
Leppävirta,Rautalampi,4
Hämeenlinna,Vesilahti,4
Humppila,Kangasala,4
Hamina,Helsinki,4
Vehmaa,Eura,4
Suonenjoki,Tervo,4
Vöyri,Lappajärvi,4
Loimaa,Hattula,4
Saarijärvi,Konnevesi,4
Jokioinen,Aura,4
Porvoo,Janakkala,4
Heinola,Hämeenlinna,4
Kankaanpää,Valkeakoski,4
Nykarleby,Isokyrö,4
Kristinestad,Korsnäs,4
Kuopio,Rautavaara,4
Hanko,Kirkkonummi,4
Pyhtää,Luumäki,4
Kauniainen,Hyvinkää,4
Petäjävesi,Multia,4
Pornainen,Hausjärvi,4
Jakobstad,Lapua,4
Eurajoki,Kankaanpää,4
Lohja,Sauvo,4
Heinola,Hartola,4
Säkylä,Salo,4
Oripää,Marttila,4
Rautalampi,Varkaus,4
Teuva,Korsholm,4
Eura,Nokia,4
Valtimo,Kuopio,4
Kuhmoinen,Juupajoki,4
Lieto,Oripää,4
Varkaus,Rautalampi,4
Hammarland,Lemland,4
Rauma,Taivassalo,4
Lieto,Laitila,4
Kumlinge,Jomala,4
Pielavesi,Pyhäjärvi,4
Nakkila,Hämeenkyrö,4
Keitele,Pihtipudas,4
Raasepori,Järvenpää,4
Kankaanpää,Kurikka,4
Juva,Kangasniemi,4
Joroinen,Heinävesi,4
Raahe,Muhos,4
Ylivieska,Kronoby,4
Hankasalmi,Kuopio,4
Keitele,Kiuruvesi,4
Liminka,Ii,4
Alajärvi,Halsua,4
Ulvila,Säkylä,4
Vaasa,Teuva,4
Pelkosenniemi,Rovaniemi,4
Ylivieska,Kempele,4
Humppila,Huittinen,4
Närpes,Isokyrö,4
Pöytyä,Tampere,4
Kumlinge,Pargas,4
Toholampi,Jakobstad,4
Alajärvi,Pedersöre,4
Polvijärvi,Kaavi,4
Alajärvi,Jakobstad,4
Äänekoski,Pieksämäki,4
Hämeenlinna,Pornainen,4
Hausjärvi,Pornainen,4
Eura,Vehmaa,4
Lestijärvi,Perho,4
Vaasa,Jakobstad,4
Liminka,Utajärvi,4
Paimio,Uusikaupunki,4
Mikkeli,Leppävirta,4
Punkalaidun,Valkeakoski,4
Pori,Kauhajoki,4
Kankaanpää,Kihniö,4
Hämeenlinna,Sastamala,4
Ilmajoki,Närpes,4
Janakkala,Urjala,4
Säkylä,Jokioinen,4
Kemi,Rovaniemi,4
Loimaa,Helsinki,4
Joensuu,Varkaus,4
Turku,Lohja,4
Kinnula,Nivala,4
Ähtäri,Petäjävesi,4
Ylöjärvi,Huittinen,4
Raisio,Kimitoön,4
Inari,Kittilä,4
Jämsä,Hartola,4
Kannonkoski,Perho,4
Jämsä,Hankasalmi,4
Kangasniemi,Juva,4
Urjala,Huittinen,4
Heinävesi,Joroinen,4
Mäntyharju,Joutsa,4
Kinnula,Kyyjärvi,4
Loviisa,Hämeenlinna,4
Kangasniemi,Jämsä,4
Riihimäki,Somero,4
Perho,Soini,4
Lapinjärvi,Hyvinkää,4
Jokioinen,Kaarina,4
Asikkala,Vantaa,4
Lapinjärvi,Kerava,4
Loimaa,Lohja,4
Taivalkoski,Oulu,4
Kangasniemi,Hartola,4
Kurikka,Kihniö,4
Lapinjärvi,Sipoo,4
Mikkeli,Hankasalmi,4
Hyvinkää,Tampere,4
Ulvila,Nokia,4
Kauhajoki,Laihia,4
Punkalaidun,Pöytyä,4
Kurikka,Karijoki,4
Haapavesi,Pyhäjärvi,4
Nakkila,Uusikaupunki,4
Salo,Humppila,4
Hausjärvi,Hattula,4
Juuka,Siilinjärvi,4
Asikkala,Iitti,4
Siilinjärvi,Tervo,4
Paimio,Jokioinen,4
Pöytyä,Pargas,4
Puolanka,Sotkamo,4
Juuka,Lapinlahti,4
Kihniö,Ilmajoki,4
Vöyri,Kurikka,4
Sund,Eckerö,4
Siilinjärvi,Tuusniemi,4
Ylivieska,Oulu,4
Saarijärvi,Mänttä-Vilppula,4
Kannonkoski,Alajärvi,4
Korsholm,Närpes,4
Siuntio,Hyvinkää,4
Lemi,Mäntyharju,4
Kronoby,Vimpeli,4
Jämijärvi,Karvia,4
Rauma,Loimaa,4
Heinola,Kärkölä,4
Siuntio,Karkkila,4
Kinnula,Alajärvi,4
Kihniö,Ähtäri,4
Kuortane,Lappajärvi,4
Eurajoki,Rusko,4
Vaala,Liminka,4
Kihniö,Nokia,4
Halsua,Kannus,4
Saarijärvi,Ähtäri,4
Laukaa,Multia,4
Laukaa,Mänttä-Vilppula,4
Kristinestad,Malax,4
Siikalatva,Pyhäjärvi,3
Masku,Kimitoön,3
Porvoo,Lohja,3
Taipalsaari,Virolahti,3
Padasjoki,Järvenpää,3
Kristinestad,Laihia,3
Kuhmoinen,Mänttä-Vilppula,3
Huittinen,Nousiainen,3
Kannus,Pyhäjoki,3
Kuhmoinen,Muurame,3
Somero,Järvenpää,3
Jokioinen,Ylöjärvi,3
Pöytyä,Vehmaa,3
Somero,Ingå,3
Evijärvi,Halsua,3
Forssa,Huittinen,3
Karkkila,Hattula,3
Eurajoki,Turku,3
Jakobstad,Lappajärvi,3
Luhanka,Toivakka,3
Soini,Äänekoski,3
Vöyri,Kronoby,3
Mänttä-Vilppula,Pirkkala,3
Pirkkala,Urjala,3
Kronoby,Lapua,3
Vårdö,Föglö,3
Vieremä,Kuopio,3
Kronoby,Seinäjoki,3
Kuhmo,Ristijärvi,3
Pomarkku,Eurajoki,3
Huittinen,Naantali,3
Jokioinen,Vesilahti,3
Kouvola,Hyvinkää,3
Turku,Forssa,3
Hausjärvi,Kauniainen,3
Taipalsaari,Mikkeli,3
Kuhmoinen,Heinola,3
Hyvinkää,Heinola,3
Kouvola,Pukkila,3
Riihimäki,Loviisa,3
Kouvola,Riihimäki,3
Kotka,Kerava,3
Hattula,Somero,3
Ilmajoki,Nykarleby,3
Karijoki,Vaasa,3
Kouvola,Pertunmaa,3
Kuhmoinen,Joutsa,3
Soini,Jyväskylä,3
Siuntio,Porvoo,3
Finström,Lumparland,3
Kronoby,Vöyri,3
Kannus,Veteli,3
Pyhtää,Myrskylä,3
Reisjärvi,Kaustinen,3
Sastamala,Oripää,3
Hattula,Jokioinen,3
Keuruu,Seinäjoki,3
Hailuoto,Lumijoki,3
Humppila,Nokia,3
Vaala,Siikajoki,3
Nakkila,Turku,3
Kinnula,Keitele,3
Pyhäjoki,Siikalatva,3
Punkalaidun,Somero,3
Lohja,Kimitoön,3
Jokioinen,Vantaa,3
Malax,Vöyri,3
Oripää,Masku,3
Janakkala,Kangasala,3
Jokioinen,Hattula,3
Turku,Kustavi,3
Paimio,Lohja,3
Pirkkala,Pälkäne,3
Halsua,Kronoby,3
Halsua,Kyyjärvi,3
Tuusniemi,Juuka,3
Halsua,Nivala,3
Hanko,Raisio,3
Lohja,Kaarina,3
Hailuoto,Kempele,3
Harjavalta,Kankaanpää,3
Kauhajoki,Lapua,3
Sastamala,Hämeenlinna,3
Kitee,Outokumpu,3
Kitee,Enonkoski,3
Harjavalta,Nokia,3
Haapavesi,Muhos,3
Vimpeli,Pedersöre,3
Rautjärvi,Taipalsaari,3
Lohja,Hausjärvi,3
Kirkkonummi,Loppi,3
Kauhajoki,Merikarvia,3
Turku,Kokemäki,3
Rautjärvi,Sulkava,3
Jokioinen,Janakkala,3
Rautjärvi,Puumala,3
Perho,Seinäjoki,3
Humppila,Paimio,3
Oripää,Naantali,3
Haapavesi,Toholampi,3
Porvoo,Iitti,3
Jokioinen,Ingå,3
Halsua,Reisjärvi,3
Viitasaari,Perho,3
Koski_Tl,Oripää,3
Perho,Reisjärvi,3
Petäjävesi,Toivakka,3
Pello,Keminmaa,3
Viitasaari,Rautalampi,3
Kempele,Hailuoto,3
Keminmaa,Ylitornio,3
Säkylä,Forssa,3
Humppila,Hattula,3
Säkylä,Humppila,3
Rauma,Tampere,3
Pargas,Uusikaupunki,3
Kemi,Kempele,3
Viitasaari,Uurainen,3
Hammarland,Geta,3
Turku,Raasepori,3
Keitele,Siilinjärvi,3
Keitele,Pyhäjärvi,3
Hammarland,Vårdö,3
Keitele,Lapinlahti,3
Muonio,Enontekiö,3
Joensuu,Kaavi,3
Punkalaidun,Oripää,3
Kempele,Oulainen,3
Säkylä,Nokia,3
Humppila,Kaarina,3
Hanko,Vantaa,3
Keuruu,Orivesi,3
Lohja,Porvoo,3
Pihtipudas,Pielavesi,3
Pälkäne,Riihimäki,3
Humppila,Lieto,3
Rautavaara,Kajaani,3
Keuruu,Kangasala,3
Pälkäne,Padasjoki,3
Joensuu,Tuusniemi,3
Kerava,Pukkila,3
Vimpeli,Halsua,3
Oripää,Laitila,3
Kerava,Loppi,3
Pori,Lempäälä,3
Janakkala,Pornainen,3
Paimio,Ypäjä,3
Kauniainen,Siuntio,3
Hamina,Lapinjärvi,3
Kerava,Hämeenlinna,3
Korsholm,Korsnäs,3
Haapavesi,Kiuruvesi,3
Janakkala,Asikkala,3
Kauhajoki,Alavus,3
Nivala,Kaustinen,3
Isojoki,Ulvila,3
Konnevesi,Tervo,3
Somero,Rusko,3
Konnevesi,Leppävirta,3
Karstula,Kinnula,3
Tyrnävä,Haapavesi,3
Pyhtää,Sipoo,3
Virrat,Juupajoki,3
Multia,Karstula,3
Humppila,Ylöjärvi,3
Padasjoki,Orimattila,3
Kokkola,Vöyri,3
Virrat,Hämeenkyrö,3
Nivala,Raahe,3
Naantali,Eura,3
Padasjoki,Pertunmaa,3
Kokkola,Seinäjoki,3
Kokkola,Lappajärvi,3
Jokioinen,Nurmijärvi,3
Jakobstad,Isokyrö,3
Myrskylä,Riihimäki,3
Konnevesi,Viitasaari,3
Huittinen,Raisio,3
Kontiolahti,Rääkkylä,3
Korsnäs,Seinäjoki,3
Tyrnävä,Oulainen,3
Ranua,Tornio,3
Rauma,Aura,3
Lumparland,Sund,3
Somero,Kerava,3
Padasjoki,Lempäälä,3
Forssa,Kirkkonummi,3
Virrat,Kuortane,3
Isojoki,Pomarkku,3
Virrat,Kankaanpää,3
Kontiolahti,Savonlinna,3
Pyhäntä,Haapavesi,3
Vihti,Lahti,3
Siikalatva,Haapajärvi,3
Forssa,Nokia,3
Korsnäs,Kauhajoki,3
Korsnäs,Kaskinen,3
Korsnäs,Isokyrö,3
Perho,Kokkola,3
Marttila,Masku,3
Vihti,Tammela,3
Punkalaidun,Hämeenkyrö,3
Valtimo,Sonkajärvi,3
Tuusula,Kärkölä,3
Kivijärvi,Haapajärvi,3
Petäjävesi,Ruovesi,3
Kiuruvesi,Viitasaari,3
Muurame,Joutsa,3
Kiuruvesi,Siikalatva,3
Kiuruvesi,Siilinjärvi,3
Haapajärvi,Pyhäntä,3
Perho,Kuortane,3
Kaskinen,Kurikka,3
Nivala,Lestijärvi,3
Naantali,Kimitoön,3
Oripää,Paimio,3
Pyhäjoki,Kempele,3
Kiuruvesi,Haapavesi,3
